row_id,submission_TITLE,HIGHLIGHTED THEME (OPTIONAL),submission_ABSTRACT,KEYWORDS_SELECTION
130,Generating and Validating a Multi-Health System Pipeline to Obtain Social Drivers of Health Data,Fairness and Disparity in Health and Biomedical Informatics: Addressing Inequities through Innovation,"There is a growing interest in linking external social drivers of health (SDOH) with electronic health record (EHR) data to understand how upstream factors may impact health. We developed a generalizable pipeline featuring DeGAUSS, an open-source geocoding tool, to enable acquisition and sharing of neighborhood-level SDOH data for patients from multiple health systems. In addition, we performed a validation of the geocoding results of DeGAUSS against a private third-party vendor. The pipeline was successfully implemented on a cohort of Duke patients resulting in SDOH data obtained for 98.0% of addresses. There was low disagreement (high concordance) between DeGAUSS and the third-party vendor FIPS assignments: 6.7% and 4.6% disagreement at the census block group and tract levels, respectively. At the census tract level, there were no significant differences in percent disagreement in FIPS classification among urban/rural strata, years, or ADI quintiles. However, disagreement proportion differed significantly by year and by urban/rural category at the census block group level, with larger disagreement in the rural category than in both micropolitan and metropolitan categories. This suggests that geocoding error present at this scale can be problematic. Our flexible data pipeline can facilitate the acquisition of location-based SDOH in a secure way that is suitable for cross-health system sharing. We are currently validating the pipeline in a multicenter research consortium, and in other surgical populations.","['Social determinants of health', 'Data sharing / interoperability', 'Clinical and research data collection, curation, preservation, or sharing']"
131,OncoOpenIE – an Expert-Based NLP System for Precision Oncology,Real-World Evidence in Informatics: Bridging the Gap between Research and Practice,"Capturing real world data (RWD) generated from oncology practice, especially clinical data available in electronic health records (EHR) has become critical to meet the urgent needs for precision oncology. To meet the needs of improving structured data capture in EHRs to augment the readiness of EHRs for cancer research and patient care, we initiated the development of an open natural language processing (NLP) system for precision oncology, OncoOpenIE as a baseline system. OncoOpenIE was developed by integrating expert knowledge engineering and sublanguage analysis of EHR data generated through precision oncology practice and research. It is freely available through the Open Health Natural Language Processing (OHNLP) (https://github.com/OHNLP/OncoOpenIE), and can be run through backbone (https://github.com/OHNLP/Backbone). In the future, we will finetune OncoOpenIE based on multi-site case studies, develop advanced NLP algorithms to expand the capability of the OncoOpenIE to extract more entities and relations. We will also adopt standards (i.e., The Observational Medical Outcomes Partnership (OMOP) Common Data Model (CDM) and Findable Accessible Interoperable Reusable (FAIR)) to encode critical clinical information using context-aware learning strategies and an open collaborative development framework.","['Natural Language Processing', 'Secondary use of EHR data', 'EHR-based phenotyping']"
132,Cancer Risk Prediction and Prevention Among Older Adults,Real-World Evidence in Informatics: Bridging the Gap between Research and Practice,"Enhancing cancer preventive care is urgently needed for individuals with Alzheimer's disease and related dementias (AD/ADRD) who face cognitive and care challenges and are vulnerable to health disparities. By applying machine learning methods to electronic health records (EHRs) datasets from Michigan Medicine and the AllofUs program, our study aims to narrow the divide in comprehension, involvement, and compliance with cancer preventive care practice, with the goal of enhancing public health results and establishing the foundation for customized cancer prevention initiatives","['Secondary use of EHR data', 'Health Information and biomedical data dissemination strategies', 'Public health informatics']"
133,An Explainable Risk Prediction Model for Hospital-Wide Mortality (HWM) Leveraging OHDSI and XGBoost,Real-World Evidence in Informatics: Bridging the Gap between Research and Practice,"Hospital-Wide Mortality (HWM) prediction is vital in modern healthcare for timely interventions, better patient outcomes, and cost reduction. Existing in-hospital mortality models often lack performance, interpretability, and standardization, limiting their clinical practicality. We present XG-HWM, a high-performance risk prediction model with an AUC-ROC range of 0.9146-0.9163. XG-HWM forecasts Hospital-Wide Mortality after 24-hour inpatient stays, enhancing clinical data reliability through OHDSI Common Data Model mapping and medication normalization. Outperforming traditional and deep learning models, XG-HWM offers transparency with SHAP integration, establishing its critical role in early mortality prediction and patient safety in clinical settings.","['Clinical decision support for translational/data science interventions', 'Measuring outcomes', 'Machine learning and predictive modeling']"
134,"Applying CTME maturity for organizational improvement, a case study",,The University of Iowa leveraged a CTSA-developed maturity assessment for Clinical Trials Management Ecosystems (CTME) to establish processes to improve the organization’s clinical research processes. This poster describes how the CTME maturity assessment was done and how the results of the assessment are driving incremental steps to improve clinical research operations at the University of Iowa.,"['Clinical trials innovations', 'Digital research enterprise', 'Learning healthcare system']"
135,Driving Precision of Pediatric VTE Risk-stratification through Genetics,Integrating Multi-Modal health Data to Enhance the Power of Informatics,"Venous thromboembolism (VTE) is a major cause of morbidity and mortality, especially in hospitalized and acutely ill patients. While rarer in children than adults, pediatric VTE is increasing in occurrence. This study aims to meet the escalating need for risk-stratified VTE prophylaxis tools in pediatric clinical settings. Our objective is to create a robust tool by validating a VTE phenotype, then developing a polygenic risk score (PRS), which will summarize the influence of genetic variants on an individual's risk of VTE. We will assess whether adding the PRS to known clinical risk factors improves prediction of pediatric VTE cases. Currently, our study has identified cases and controls, and generated a predictive PRS using UK Biobank summary statistics. A PheWAS and logistic regression demonstrated the value of our PRS in prediction of VTE. Further work will include integration of the PRS into clinical risk stratification models.","['Genotype-phenotype association studies (including GWAS)', 'Phenomics and phenome-wide association studies', 'EHR-based phenotyping']"
136,Wise Instance Selection Algorithms Help Reduce Annotation Work in Multi-Task Multi-Class Urinary Tract Dilation Prediction,Harnessing the Power of Large Language Models in Health Data Science,"We present an investigation into optimizing annotation efficiency on a real-life task of predicting urinary tract dilation (UTD) using infant hydronephrosis ultrasound reports. Leveraging a cohort of 2,479 infants and a range of instance selection algorithms, including Temperature Scaling + Entropy and K-Means + Entropy, all our algorithms outperform the random sampling baseline and show stabilized performance with fewer annotations. K-Means + Entropy emerges as the top performer, maximizing information uncertainty and density.","['Natural Language Processing', 'Learning healthcare system', 'Machine learning and predictive modeling']"
137,Cloud Based Interactive Chatbot Solution to Increase Post Delivery Outreach,Implementation Science and Deployment in Informatics: From Theory to Practice,A crucial period in the lives of newborn babies and their mothers is the postnatal and postpartum period. Manual outreach for providing timely newborn and postpartum follow-up is extremely resource intensive and reaching out to every patient post-delivery is an extremely tedious task. We have developed an automated outreach solution using real-time EHR data to generate a list of patients to be contacted by an interactive chatbot within 24 hours of discharge to provide both educational and safety related content tailored to their birth experience.,"['Data mining and knowledge discovery', 'Data transformation/ETL', 'Implementation Science']"
138,Improving Large Language Model Performance on Domain-Specific Responses Utilizing Embeddings,Harnessing the Power of Large Language Models in Health Data Science,"Large language models (LLMs) have become an increasingly available resource for information retrieval and answering user questions. These systems are typically pre-trained on a static corpus of text data. This poses a potential limitation in domains with rapidly changing treatments, guidelines, and literature. In this investigation, we explore using embeddings to supplement LLMs with recently published research and measure model performance on domain-specific queries using this approach compared to other models.","['Data Integration', 'Natural Language Processing', 'Biomedical informatics and data science workforce education']"
139,Large Language Models for Translating Clinical Trial Eligibility Criteria into Structured Data,Harnessing the Power of Large Language Models in Health Data Science,"Matching cancer patients to clinical trials represents an important mechanism for empowering patients and expanding clinical research to a broader population. We evaluated the possibility of using LLMs for converting free-text clinical trial eligibility into structured eligibility criteria. Our goal was to develop ChatGPT prompts to translate trial eligibility text into a structured data format (MQL). Translation directly from free text to MQL was inefficient and frequently failed to separate criteria into discrete rules. Problem decomposition was used to break prompts into multiple smaller components. We qualitatively evaluated the results of these trials with a separate data set (n=5) of therapeutic clinical trials. We evaluated the number of predicates in the inclusion and exclusion criteria from ClinicalTrials.gov versus the MQL predicates. The system identified all inclusion criteria in 4 trials and missed 4 predicates from one trial, due to the OpenAI API limitation in number of tokens (16k) per request. In total, 101 out of 105 (96%) predicates were included in MQL. Due to the same limitation, the system didn’t classify the exclusion criteria in 2 trials. In the remaining 3, our implementation identified 100% of the predicates in the exclusion criteria (39 in total). We identified several key considerations. First, translation worked best independently by trial followed by a standardization process. Secondly, problem decomposition is an essential aspect to utilizing LLMs. By separating tasks into identifying inclusion/exclusion predicates and then managing the translation to a structured format, we provide data supporting the feasibility of the approach.","['Recruitment technologies', 'Data/system integration, standardization and interoperability', 'Clinical and research data collection, curation, preservation, or sharing']"
140,Designing a Consumer-centric Care Management Program by Prioritizing Interventions Using Deep Learning Causal Inference,Implementation Science and Deployment in Informatics: From Theory to Practice,"Care management is a team-based and patient-centered approach to reduce health risks and improve outcomes for managed populations. Post Discharge Management (PDM) is an important care management program at Elevance Health, which is aimed to reduce 30-day readmission risk for recently discharged patients. Current PDM program suffers from low engagement. When assigning interventions to patients, case managers choose the interventions to be conducted in each call only based on their limited personal experiences. In this work, we use deep learning causal inference to analyze the impact of interventions conducted on the first call on consumer's engagement in PDM program, which provides reliable reference for case managers to select interventions to promote consumer's engagement. With three experiments cross validating the results, our results show that consumers will engage more in the program if the case manager conducts interventions that require more nurse-patient interactions on the first call. On the other hand, conducting less interactive and more technical interventions on the first call leads to relatively poor consumer's engagement. These findings correspond to the clinical sense of experienced nurses and are consistent with previous findings in patient engagement in hospital settings.","['Clinical decision support for translational/data science interventions', 'Patient centered research and care', 'Machine learning and predictive modeling']"
141,Effects of De-identification on Named Entity Recognition of Emergency Department Reports,,"Although numerous performance studies of named entity recognition and de-identification have been conducted individually, to our knowledge no published studies have compared the effect of de-identification on NER of clinical text. We performed this study because our research medical records service will only release the results of NER (e.g., Unified Medical Language System concept codes, CUIs) on text that they have de-identified. We believe others may encounter similar issues. Our research medical records service obtained a random set of ED reports for 120 patients over three years from five UPMC hospitals in Allegheny County, Pennsylvania, and de-identified the reports using NLM Scrubber. They then applied Metamap Lite as an NER tool on both the identified and de-identified reports. The overall number of concepts found in the original compared to the de-identified reports was significantly different The precision and recall of NER on de-identified reports were 0.936 and 0.985, respectively. De-identification and NER are powerful text processing techniques that may interact adversely when used together. When feasible, we recommend that researchers perform a measurement study to understand which extraneous concepts to ignore when using de-identification tools in an NER pipeline. A suggestion to authors of NER tools is to include an option to ignore PHI placeholders output by de-identification tools to improve precision.","['Data transformation/ETL', 'Data security and privacy', 'Natural Language Processing']"
142,Rule-Based Natural Language Processing to Extract Clinical Trial and Research Study Enrollment History from Unstructured Notes,,"Clinical trials are vital for advancing care. However, a systematic approach to tracking trial participation across different facilities and sponsors has been lacking. We developed natural language processing (NLP) methods to extract study enrollment history, including enrollment status, consent date, and study title from information on clinical trial participation recorded in clinical notes in the electronic health record based on national Veterans Affairs electronic health record data. The method exhibited high test-set precision for enrollment status (0.94), consent date (0.97), and study title (0.87) and acceptably high recall (0.76, 0.70, and 0.84, respectively). From a single center, the classifier correctly identified 111 of 125 trial participants (88.8%) across 12 distinct trials. Our study demonstrates the feasibility of using NLP to capture trial enrollment from a nationwide healthcare system. This algorithm creates a novel data resource for analyzing and tracking trial enrollment at the population level.","['Clinical trials innovations', 'Natural Language Processing', 'Clinical and research data collection, curation, preservation, or sharing']"
143,Accelerating Precision Medicine Through Integration of Medical and Veterinary Electronic Health Record Data,Integrating Multi-Modal health Data to Enhance the Power of Informatics,"The goal of this research is integrating veterinary and human health data to improve patient care. This investigation advances construction of datasets to allow such analyses. A proof-of-concept study was designed to determine the frequency of household medical record overlap between geographically-overlapping human and veterinary medical academic institutions. We examine the feasibility of developing a comprehensive interdisciplinary registry to investigate similarities in risk factors, diagnoses, and therapies for diseases shared by people and their pets.","['Clinical decision support for translational/data science interventions', 'Data Integration', 'EHR-based phenotyping']"
144,Performance Trade-Offs for the Safe Sharing of a Fully De-Identified SVM Model for Child Abuse and Neglect,Implementation Science and Deployment in Informatics: From Theory to Practice,"Natural language processing methods applied to unstructured clinical notes have the potential to improve early detection of child abuse and neglect (CAN) cases. However, sharing a CAN risk model between institutions raises ethical concerns that the model features may patients to new risks by including patient details. We report on training a model with de-identified notes and manually redacted n-gram (word) features to demonstrate a successful means for 'de-risking' models with limited impact on performance.","['Natural Language Processing', 'Data security and privacy', 'Ethical, legal, and social issues']"
145,Advancing Pharmacovigilance through Health System Collaborations: A Real-World Example of Methods for Supporting External Validation,Proactive Machine Learning in Biomedical Applications: The Power of Generative AI and Reinforcement Learning,"The use of electronic health records (EHRs) for predictive modeling has the potential to increase accuracy, strength, and efficiency in adverse event signal detection. Aspects of leveraging artificial intelligence driven predictive algorithms to detect adverse drug reactions are currently being explored in scientific research. One challenge in the methodology for the use of EHR data for predictive modeling and signal detection is connected to the need for separate data sources for the variety of external validations. This submission provides a real-world example of health system collaboration to support the external validation of predictive modeling algorithms in immunotherapy/checkpoint inhibitors.","['Collaborative workflow systems', 'Biomedical informatics and data science workforce education', 'Drug discovery, repurposing, and side-effect discovery']"
146,"Three Decades of Federal Regulations: Impact on the RWD Infrastructure, Challenges and Current Opportunities",Real-World Evidence in Informatics: Bridging the Gap between Research and Practice,How legislative changes over the last three decades have driven key infrastructure developments for RWD. Starting with the HIPAA in 1996 and the ARRA of 2009 significantly impacted the collection and use of healthcare data. ARRA provided funding to invest into infrastructure and information technology along with establishing ONC and lead to HITECH Act. Understanding the history of how the regulatory environment influenced RWD helps researchers anticipate and engage in future endeavors for RWD ecosystem.,"['Data quality', 'Data standards', 'Ethical, legal, and social issues']"
147,Monitoring Generative AI Solutions For Corrective Action,Proactive Machine Learning in Biomedical Applications: The Power of Generative AI and Reinforcement Learning,"In the realm of healthcare services utilizing generative AI solutions, it's vital to maintain strict control over the training data that shapes these solutions. The training content plays a direct role in influencing the performance and ethical considerations of AI models. Implementing a corrective action framework capable of evaluating the training data can detect potential bias or misinformation in the AI solutions, triggering alerts when necessary.","['Education and Training', 'Health Information and biomedical data dissemination strategies', 'Machine learning and predictive modeling']"
148,Using a semi-supervised approach for predicting diagnosis of Heart Failure in MIMIC-IV dataset,Citizen Science and Democratizing AI and Informatics for Healthcare,"We developed a classifier for diagnosing Heart Failure (HF) one month before admission, using semi-supervised approach, where we used the number of heart failure diagnosis in the health record to create a silver standard for developing models. The best classifier achieving an AUROC of 0.81 and has potential to facilitate early diagnosis of HF.","['Secondary use of EHR data', 'Data-driven research and discovery', 'Machine learning and predictive modeling']"
149,Preventing Wrong-Drug and Wrong-Patient Errors with Indication Alerts in CPOE Systems,Real-World Evidence in Informatics: Bridging the Gap between Research and Practice,"Delivering the correct medication to the correct patient is critical in medication safety, yet wrong-drug and wrong-patient errors persist. Linking medication orders to patient problem list diagnoses helps prevent wrong-drug and wrong-patient errors. To improve problem list documentation and decrease the rate of errors, we implemented indication alerts to notify prescribers when ordered drugs do not match the patients’ problems and find that alerts increase the rate of problem list placements and self-intercepted ordering errors.","['Secondary use of EHR data', 'Learning healthcare system', 'Reproducible research methods and tools']"
150,Assessing Utilization of Patient-Reported Outcomes in the Context of Virtual Reality Facilitated Randomized Controlled Trials: A Scoping Review,"Telehealth, Wearable Devices, and Patient-Generated Health Data: The New Frontiers of Informatics","Virtual Reality (VR) is an emerging class of wearable technology in Randomized Controlled Trials (RCTs)1. Patient-Reported Outcomes (PRO) aid in the standardization of data collection in trials with a VR component, benefitting the translation of representative outcomes into real-world healthcare solutions. Through a scoping review, our aim is to showcase current VR practices in RCTs and prompt continued exploration of PRO as a trial outcome measure in VR facilities trials.","['Clinical trials innovations', 'Data standards', 'Public health informatics']"
151,Assessing the Performance of Large Language Models in Identifying Hormonal Therapy Medication Consumption from Online Discussions,Harnessing the Power of Large Language Models in Health Data Science,"This study assesses Large Language Models (LLMs) in extracting hormonal therapy information from online forums. Posts from breastcancer.org were annotated and analyzed using LLMs, including ChatGPT. Using Jaccard metrics, ChatGPT showed the highest accuracy in identifying key elements. The study suggests LLMs can help healthcare professionals and researchers extract valuable information from online health discussions without the need for natural language processing expertise.","['Natural Language Processing', 'Data mining and knowledge discovery', 'Drug discovery, repurposing, and side-effect discovery']"
152,Identification of Clinical Features for Predicting Prolonged ICU Stay for Pneumonia Patients,,"The length of stay (LOS) in the Intensive Care Unit (ICU) holds significant importance in patient management and resource allocation. The COVID-19 pandemic intensified the challenges associated with ICU allocation, resulting in crises in hospital management particularly in cases of pneumonia. This study employed various machine learning models to predict extended ICU stays for pneumonia patients. XGBoost delivered the best performance with an F1 score of 0.80 and an AUC score of 0.68. Key predictors were identified, including COVID-19 status, ECMO use, and GCS scores. Additionally, the model highlighted external transfer status as an admission factor often overlooked in ICU stay prediction. These insights enable early risk assessment and targeted interventions, potentially improving patient outcomes and ICU management.","['Data-driven research and discovery', 'Machine learning and predictive modeling']"
153,Opioid and Antimicrobial Prescription Patterns During Emergency Medicine Encounters Among Uninsured Patients,Fairness and Disparity in Health and Biomedical Informatics: Addressing Inequities through Innovation,"This study examined opioid and antimicrobial prescribing patterns among uninsured patients seeking emergency medical care. Over a two-year period, we studied prescribing patterns for opioid pain medication, non-opioid pain medication, and antimicrobials. We examined 68,969 Emergency Department (ED) visits during the two-year study period. Uninsured patients were younger, had fewer comorbidities, less acute ED complaints, and were less likely to have multiple ED visits. Accounting for these differences, uninsured patients were less likely to receive an opioid prescription (OR = 0.93, p = 0.063), more likely to receive a non-opioid pain medication prescription (OR = 1.90, p < 0.001), and less likely to receive an antimicrobial (OR 0.96, p = 0.457). We use a combination of contributing factors including a patient’s housing status, ethnicity, age etc. to predict opioid and antibiotic prescription patterns for uninsured patients using machine learning (ML) algorithms. The most impactful contributing factors in predicting the outcome of visits were housing status, comorbidities, and ED recidivism.","['Social determinants of health', 'Secondary use of EHR data', 'Machine learning and predictive modeling']"
154,Evaluating AI Reporting Guideline Adherence of Medical AI Research Using Large Language Model-based Systems,Harnessing the Power of Large Language Models in Health Data Science,"In recent years, artificial intelligence (AI) has been transforming healthcare with advanced models for risk prediction, disease classification, as well as diagnosis, prognosis, and treatment. However, there are still major challenges regarding the deployment of AI models in healthcare due to inadequate transparency of the prediction, and potential bias. To ensure a certain level of transparency and fairness of the medical AI models, reporting guidelines such as TRIPOD (Transparent Reporting of a multivariable prediction model for Individual Prognosis or Diagnosis), MINIMAR (MINimum Information for Medical AI Reporting), CONSORT (The consolidated standards of reporting trials) have been proposed and adopted by many publishers.3 However, it is still challenging for publishers, editors, and reviewers to manually check the AI model-related manuscripts against these reporting guidelines. Large language models (LLMs) such as ChatGPT have recently gained traction due to their robustness and accuracy in answering various types of questions. Therefore, in this study, we aim to use LLM-based systems to automatically evaluate the adherence of AI papers against the TRIPOD reporting guidelines and analyze the areas in which LLMs cannot be used to evaluate TRIPOD reporting guidelines adherence for real-world medical AI publications.","['Open Science for biomedical research and translational medicine', 'Data mining and knowledge discovery', 'Machine learning and predictive modeling']"
155,Lessons Learned from Implementing Genomic Indicators at Learning Health System Hospital,Implementation Science and Deployment in Informatics: From Theory to Practice,"Many institutions with a clinical pharmacogenomics (PGx) program recognize the value of clinical decision support (CDS) in aiding the clinical translation of PGx results. However, commercial EHR vendors have only recently developed systems specifically designed to facilitate the implementation of PGx CDS. This poster highlights the advantages and lessons learned from implementing genomic indicators, a PGx phenotype repository built into the EHR, at an institution with a well-established PGx program.","['Clinical decision support for translational/data science interventions', 'Pharmacogenomics', 'Implementation Science']"
156,Architectural Considerations for a One Health Informatics Ecosystem,Integrating Multi-Modal health Data to Enhance the Power of Informatics,"Health is often determined by a complex interaction between humans, animals and the environment. The One Health approach is being considered for obtaining a comprehensive understanding of zoonotic disease and antimicrobial resistance. Modern data systems, therefore require to ingest, integrate and analyze these diverse data. In this study we perform a domain analysis of One Health to propose a reference architecture for an informatics platform, and identify its key characteristics.","['Public health informatics', 'Data/system integration, standardization and interoperability', 'Exposome and data integration']"
157,Assessment of Data Quality in the EHR – Discrete Data Missingness of Pancreatic and Breast Cancer Patients in UC Health’s EHR,,"This study investigates missing data in electronic health records for breast and pancreatic cancer patients. We compare missing data elements between 2019 and 2022 in the UC Health Epic EHR and contrast them with the Tumor Registry as a pseudo-control group. Results reveal significant disparities across demographics, social, biomarkers, and cancer staging categories. This study highlights the need for improved discrete data quality in electronic health records, impacting clinical care and research.","['Data quality', 'Sustainable research data infrastructure', 'Cohort discovery']"
158,Unveiling Patterns and Insights in Multiple Myeloma Studies: A Large Language Model Approach to Clinical Trial Analysis,Harnessing the Power of Large Language Models in Health Data Science,"In this study, we utilized a large language model to extract granular level data from 263 multiple myeloma clinical trials, concentrating on CAR-T cell therapy, bispecific antibody/BiTE, and antibody-drug conjugates. With precision at 94.92%, recall at 95.58%, and an F1 score of 95.16%, we extracted over 80 data elements. Our analysis unveiled disparities in adverse events, offering insights for clinical decisions and facilitating data-driven treatment comparisons, enhancing clinical trial comprehension.","['Clinical trials innovations', 'Data-driven research and discovery', 'Natural Language Processing']"
159,Figma-Powered Dashboard Prototype for Hearing Aid Device Comparison,"Telehealth, Wearable Devices, and Patient-Generated Health Data: The New Frontiers of Informatics","Hearing loss is a life-altering condition that affects millions of people, yet there is no existing platform where consumers can search through all commercially available, FDA-registered hearing aid devices. With the CLEARdashboard – Consumer Led Evidence - Amplification Resources dashboard, users are able to compare and contrast all available over-the-counter hearing aids and make informed decisions about which hearing aids are best suited for them. The dashboard prototype was created using Figma, a cloud-based design and prototyping tool, using input from an advisory panel consisting of the targeted demographic. With Figma tools, the dashboard prototype provides an interactive environment for users to explore all hearing aid options and compare their specifications.","['Health literacy issues and solutions', 'Advanced data visualization tools and techniques', 'Mobile Health, wearable devices and patient-generated health data']"
160,Statin Adverse Drug Event Modeling and Prediction Using a Clinical Data Warehouse,,"Background: Cardiovascular disease (CVD) is the leading cause of clinical morbidity and mortality in the United States and worldwide. Fortunately, a number of therapies including lipid-lowering statin drugs have proven to be effective in preventing or treating cardiovascular disease. Statin therapies lower cholesterol, one of the key risk factors in cardiovascular disease. However, statin related symptomatic adverse drug events (ADEs) limit the benefits of statin therapies and can negatively impact treatment management. It is then of primary interest to understand and prevent the occurrence of statin related ADEs among statin users if we were to reap the full benefits of statin therapies.Objective: To facilitate the detection and surveillance of statin ADEs in electronic medical record repositories by leveraging statin data, International Classification of Diseases (ICD) diagnosis codes, laboratory data, clinical notes, and advanced analytic tools.Methods: Using advanced analytics tools in data science and machine learning we developed solutions that are easily reproducible and replicable. We primarily developed tree based ensemble models and best practice approaches for the detection and surveillance of adverse drug events in general and statin related adverse drug events in particular.Results: We developed algorithms for the detection of statin related myopathy and rhabdomyolysis, disease of the liver, and renal disease. These algorithms can be used on any data with similar features for the detection of potential statin related ADEs. In the same token, we also developed tools for clinical data cohort quality improvement and adverse drug events reporting.","['Clinical decision support for translational/data science interventions', 'Informatics research/biomedical informatics research methods', 'Machine learning and predictive modeling']"
161,A Comparison of Google and ChatGPT for Automatic Generation of Health-related Multiple-choice Questions,Harnessing the Power of Large Language Models in Health Data Science,"Accessible content is important for patient health literacy in a range of mediums. Critical to producing accessible content is an understanding of what characteristics affect understanding and comprehension. To answer this question, we are producing a large corpus of health-related texts with associated questions that can be read or listened to by study participants to measure the difficulty of the underlying content, which can later be used to better understand text difficulty and user comprehension. To this goal, in this paper, we examine methods for automatically generating multiple-choice questions using Google’s related questions and ChatGPT. We compare both the question quality as well as the suggested wrong answers using automated metrics and two user studies. Overall, we find both algorithms generate reasonable questions that are complementary. Google questions use more accessible language and are easier to answer while ChatGPT questions appear easier, but are more difficult to answer and have better coverage over the entire text. For wrong answer generation, we find ChatGPT produces higher quality wrong answers that are more likely to be good distractors and are more closely related to the text content. We recommend both questions as options for studies with wrong answers generated by ChatGPT.","['Natural Language Processing', 'Health literacy issues and solutions', 'Data mining and knowledge discovery']"
162,Approaches to Data Quality Improvement in the Development of a Data Bank for Emerging and Re-emerging Infectious Diseases,Real-World Evidence in Informatics: Bridging the Gap between Research and Practice,"Our databank project collects clinical data from electronic medical records and medical claims information from medical accounting systems. By validating data obtained from different systems for the same medical practice, we propose a way to improve the quality of data when building a clinical registry.","['Clinical trials innovations', 'Secondary use of EHR data', 'Clinical and research data collection, curation, preservation, or sharing']"
163,Quantifying digital health documentation in real-world clinical care,"Telehealth, Wearable Devices, and Patient-Generated Health Data: The New Frontiers of Informatics","A data-driven approach is taken to characterize digital health terms documented in over 100 million clinical notes from a large, academic hospital. Digital health terms were frequently documented in endocrinology and cardiology departments, and were primarily found in clinical notes of younger patients who self-reported as “White” and English speaking.","['Natural Language Processing', 'Data mining and knowledge discovery', 'Mobile Health, wearable devices and patient-generated health data']"
164,Characterizing Dynamics of Vital-Sign Signals Using Switching State Space Modeling to Assess Fluid Responsiveness in ICU Patients,,"Fluid responsiveness is crucial when administering fluids to patients, as it must be tailored to the patient's personal needs and medical state. Traditional 'one-size-fits-all' approach to patient treatment often falls short of achieving optimal outcomes. To address this, our main goal is to create a robust machine-learning algorithm to offer valuable insights to healthcare professionals making treatment decisions. Specifically, we aim to explore whether the state representation derived from the AR-HMM (Autoregressive Hidden Markov Model) can predict fluid responsiveness in various scenarios using minute-by-minute, high-resolution data from PhysioNet MIMIC III. Ultimately, this research aims to uncover dynamic markers and states indicative of various treatment outcomes.","['Data mining and knowledge discovery', 'Clinical decision support for translational/data science interventions', 'Machine learning and predictive modeling']"
165,Linking Home Environments and Health through Computer Vision,"Telehealth, Wearable Devices, and Patient-Generated Health Data: The New Frontiers of Informatics","The impact of daily environments on health and behavior is well-acknowledged, yet quantifying environments individually and extensively remains a challenge. In this study, we use computer vision (Faster R-CNN) to detect objects in 14000+ images of the home environments of 1,101 participants. We then fit a Latent Dirichlet Allocation to the detected objects to identify 25 distinct scene types. Our findings reveal associations between specific scene types and self-reported measures of psychosocial health, including stress.","['Data-driven research and discovery', 'Public health informatics', 'Advanced data visualization tools and techniques']"
166,Analyzing Age-Related Differences in Glioblastoma Disease Trajectories Through Dynamic Time Warping of Electronic Health Record Data,,"Glioblastoma, the most common primary malignant brain tumor in adults with a median survival of only 8 months, has poorer outcomes in elderly patients. However, little investigation exists into differences between the temporal progression of clinical course in old and young GBM patients. Dynamic time warping of diagnosis codes from electronic health records can be leveraged to generate longitudinal patient disease trajectories. Age-stratifying these trajectories allows for examination of age-related differences in glioblastoma clinical course.","['EHR-based phenotyping', 'Secondary use of EHR data', 'Machine learning and predictive modeling']"
167,"Wiping Fingerprints: Using Synthetic Data to Create a Secure, Shareable Merged Dataset",Real-World Evidence in Informatics: Bridging the Gap between Research and Practice,"There is a growing need for combined data sets that can better represent individuals’ clinical status. However, data fingerprints in individual data sets creates a privacy risk when the data sources are linked across patients. Synthetic data may be helpful in protecting privacy for merged datasets. We studied the ability of synthetic data to remove data fingerprints from data sources used in a Privacy-Preserving Record Linkage (PPRL) study. We created a unique identifier or fingerprint for each record from a combination of biomedical data features. We then used a weighted Euclidean distance calculation to compute a fingerprinting distance between individuals. The results showed that fingerprints are easily identified without synthetic data, but the application of synthetic data generation removes the data fingerprint such that inferring the correct record would be impossible. Our study indicates that it is possible to mitigate the risk of re-identification while enabling valuable data integration for research.","['Data security and privacy', 'Sustainable research data infrastructure', 'Secondary use of EHR data']"
168,LIVES: An Interactive Living Evidence Synthesis System for Systematic Review and Meta-Analysis,Implementation Science and Deployment in Informatics: From Theory to Practice,"Systematic reviews (SR) and meta-analyses (MA) are invaluable tools for aggregating research findings and offering decision-makers more precise effect estimates, surpassing the limitations of individual studies. However, they confront several noteworthy challenges, for instances,1. Time-Consuming Process: Conducting SRMAs is a labor-intensive endeavor, typically demanding an average of 67 weeks to complete, which can strain resources and hinder timely decision-making.2. Rapid Obsolescence: SRMAs swiftly lose relevance as they struggle to keep up with the constant influx of new evidence, potentially rendering their conclusions outdated.3. Limited Information Depth: Traditional SRMAs often rely on static tables and figures, which can restrict the comprehensive presentation of critical information, hampering their utility etc. A promising remedy lies in adopting a 'living systematic review' approach anchored in standardized protocols. This innovative approach allows for the continuous updating of study findings through an iterative pipeline, significantly reducing the time needed to disseminate new insights. Embracing living systematic reviews holds the potential to overcome many of the challenges inherent in traditional SRMAs, making evidence synthesis more dynamic, accessible, and relevant to the evolving landscape of research and decision-making.","['Clinical decision support for translational/data science interventions', 'Clinical trials innovations', 'Informatics research/biomedical informatics research methods']"
